"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.0140081363975802,0.662012540913238,0.3,0.195,1,"Crlf3"
0.0140200611523618,-1.22280772007854,0.055,0.125,1,"Cfl2"
0.0141358141681583,-0.457787767801788,0.395,0.54,1,"Abca1"
0.0141651440511896,-0.589736828408066,0.19,0.3,1,"P2ry12"
0.0142476209644262,-0.376304965098661,0.915,0.93,1,"Lyz2"
0.0143567295585188,-1.00967867402095,0.04,0.105,1,"Erlin2"
0.0144065468798822,-1.00854661110509,0.18,0.275,1,"C5ar1"
0.01448829238907,1.07928829329413,0.165,0.085,1,"Rbmxl1"
0.0146036993936362,0.380162524194713,0.68,0.625,1,"Pcbp2"
0.014750088898834,1.2505883395974,0.155,0.08,1,"Fam107b"
0.0151114975479242,1.62179319869168,0.1,0.04,1,"BC035044"
0.0153316342407297,-0.310030256002274,0.875,0.92,1,"Sh3bgrl3"
0.015419309961085,-0.312212797096595,0.405,0.52,1,"Rab2a"
0.0154933538844115,-1.56795188850053,0.045,0.11,1,"Appl2"
0.0157910452017779,1.63439257999756,0.155,0.08,1,"Crnkl1"
0.0158079086143927,-1.0887903733535,0.09,0.17,1,"Calu"
0.0158384795098944,-0.73423191189833,0.08,0.165,1,"Ssna1"
0.0158477903803695,-0.782292918419678,0.165,0.265,1,"BC005624"
0.0159393818689748,0.574303410711926,0.315,0.21,1,"Milr1"
0.0159447700204594,-1.27763099366606,0.05,0.115,1,"Hspb11"
0.0160593437924342,0.317514552476849,0.69,0.625,1,"Ndufb1-ps"
0.0160992284115942,-0.266428705631797,0.73,0.885,1,"Gapdh"
0.0161038217845005,-0.828398584409809,0.24,0.325,1,"Fkbp1a"
0.0162236235951392,1.18021651115884,0.11,0.045,1,"Dop1a"
0.0163809215475441,-0.499683543602284,0.375,0.485,1,"Mdh1"
0.0166166316505887,-0.774546388028789,0.28,0.38,1,"Olfml3"
0.0167596884144905,-0.672066592827751,0.165,0.265,1,"Uap1l1"
0.0169418461156614,0.351319043747277,0.69,0.61,1,"Gas5"
0.0170018651624179,-0.79996136498825,0.115,0.205,1,"Ccnl2"
0.0170703279712115,1.22003751866325,0.11,0.045,1,"Fam20c"
