"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.56041114661959e-08,1.23459426002205,0.31,0.123,0.00215114571703404,"28","Dot1l"
8.66835523320444e-08,0.628262223848313,0.72,0.409,0.00217827098655194,"28","Cnpy2"
8.79597201708999e-08,0.61115912904759,0.7,0.386,0.00221033980817454,"28","Mrpl30"
9.13595054394777e-08,1.14450495794018,0.31,0.117,0.00229577301218863,"28","Mta1"
9.18532453263758e-08,0.973655276560303,0.37,0.153,0.0023081802018065,"28","Prelid3b"
9.2069501743615e-08,0.489080761230163,0.84,0.509,0.0023136145093153,"28","Eif3e"
9.40135148420712e-08,0.861904226110848,0.49,0.245,0.00236246561446641,"28","Eif4e"
9.7114433413674e-08,0.600560975477723,0.71,0.403,0.00244038859725221,"28","Mrpl51"
9.89351543167435e-08,0.628675420141569,0.65,0.344,0.00248614149282545,"28","Ssr2"
1.01406756304204e-07,0.911880906189437,0.49,0.24,0.00254825037916834,"28","Mrps15"
1.01547029048628e-07,1.14388011390281,0.3,0.113,0.00255177529296297,"28","Poldip2"
1.03195697374045e-07,0.583007599646128,0.79,0.451,0.00259320467931238,"28","Mrps14"
1.05414145397073e-07,0.610770401093191,0.72,0.413,0.00264895205968305,"28","Psma6"
1.06192012408698e-07,1.28228770282512,0.27,0.101,0.00266849907981817,"28","Hist2h2aa1"
1.11093253795866e-07,0.956971296538854,0.43,0.194,0.00279166237463632,"28","Clpp"
1.11840905301365e-07,0.912632153060355,0.49,0.255,0.00281045010931799,"28","Syne2"
1.14882006050491e-07,1.46218740424004,0.27,0.1,0.00288686993004278,"28","Ddx19a"
1.17609262178201e-07,0.80554446385206,0.39,0.168,0.002955403149276,"28","Rars"
1.1901077138761e-07,1.13746686745927,0.33,0.134,0.00299062167419925,"28","Terf1"
1.19644577591913e-07,0.617834113287598,0.75,0.463,0.00300654859030719,"28","Ythdc1"
1.26800777266105e-07,0.574232361542349,0.79,0.456,0.00318637673191996,"28","Pdcd5"
1.30653910014007e-07,1.65815516593109,0.4,0.202,0.00328320210474199,"28","Gnl3"
1.34378060491544e-07,1.06624797410495,0.37,0.157,0.00337678628209202,"28","Dlst"
1.39358391750943e-07,0.617919902224351,0.68,0.366,0.00350193702630945,"28","Bax"
1.41511173388993e-07,0.44871395782398,1,0.958,0.003556034276092,"28","Rps3"
1.41788068207419e-07,0.995338302876866,0.4,0.186,0.00356299236598424,"28","Csnk2a2"
1.44007966854253e-07,0.793161167739235,0.59,0.323,0.00361877619908053,"28","Psmd14"
1.45803714370448e-07,1.59175633740344,0.33,0.148,0.00366390153841498,"28","Pla2g12a"
1.4623270499545e-07,1.05618378670604,0.33,0.135,0.00367468164383067,"28","Hax1"
1.52005339149915e-07,0.822590271196033,0.5,0.244,0.0038197421674982,"28","Epc2"
1.53348979272732e-07,0.877648725936859,0.37,0.153,0.00385350650014448,"28","Gnl2"
1.5532932699193e-07,0.891150263903004,0.54,0.285,0.0039032706579802,"28","Brd1"
1.56591951883396e-07,1.1925968241836,0.31,0.123,0.00393499915887786,"28","Mrpl3"
1.58462234549589e-07,0.311813408174748,1,0.988,0.00398199749199662,"28","Rps24"
1.67363189140578e-07,0.568595296093132,0.81,0.555,0.00420566957991357,"28","Nol7"
1.67736919286965e-07,0.98782346006555,0.43,0.202,0.00421506104476214,"28","Oard1"
1.68699392563806e-07,0.488984298114556,0.99,0.971,0.00423924703573587,"28","Rpl11"
1.71752090851485e-07,1.16294156050577,0.26,0.094,0.00431595829100696,"28","Josd1"
1.72951182856192e-07,1.13703192737582,0.44,0.226,0.00434609027399326,"28","Ak2"
1.7494575925777e-07,0.75933178363132,0.63,0.357,0.00439621198438849,"28","Psmd11"
1.75843489816665e-07,1.2232344020212,0.25,0.092,0.00441877105560298,"28","Sdccag8"
1.7915591915353e-07,0.500041784468829,0.87,0.61,0.00450200909240905,"28","Rbm25"
1.79460126411651e-07,1.15088373412014,0.27,0.1,0.00450965351659838,"28","Apoo"
1.81354748696363e-07,1.15411688057568,0.29,0.111,0.0045572634799909,"28","Setdb1"
1.8776615139375e-07,0.686572798469191,0.68,0.378,0.00471837561837354,"28","Rrp1"
1.96077113625118e-07,1.22202135872722,0.31,0.129,0.00492722178828559,"28","Zfp646"
2.01020111644799e-07,0.887468182705108,0.44,0.207,0.00505143438552215,"28","Pafah1b2"
2.01215784083036e-07,0.942051966879278,0.44,0.209,0.00505635143822261,"28","Med19"
2.02633771932068e-07,1.30256606805233,0.25,0.089,0.00509198405488094,"28","Meis1"
2.04765540488753e-07,1.15841227857508,0.28,0.107,0.00514555326694186,"28","Elp5"
2.10728925057786e-07,0.594048381604145,0.67,0.403,0.0052954071577771,"28","Esd"
2.13139231781406e-07,1.26703299551534,0.29,0.113,0.00535597575543496,"28","Gcn1"
